CD_TICKER;VL_VPA;VL_REND_24M;DT_CARGA
ABCP11;91.77;0.48789474;2022-10-03
ALZR11;111.24;0.6540215;2022-10-03
BBPO11;100.12;0.96993196;2022-10-03
BCFF11;78.39;0.52564316;2022-10-03
BCRI11;104.62;1.2225;2022-10-03
BPFF11;79.25;0.6005;2022-10-03
BRCR11;100.61;0.4770148;2022-10-03
BTLG11;97.97;0.6905;2022-10-03
CRFF11;89.92;0.483;2022-10-03
DVFF11;95.31;0.73363636;2022-10-03
FCFL11;104.78;0.72004675;2022-10-03
FIGS11;99.59;0.311;2022-10-03
FLMA11;157.15;0.59625;2022-10-03
FVBI11;0.0;0.36957262;2022-10-03
FVPQ11;198.4;0.66995743;2022-10-03
GGRC11;129.59;0.8205;2022-10-03
HABT11;101.01;1.413;2022-10-03
HFOF11;86.93;0.595;2022-10-03
HGBS11;219.51;0.898;2022-10-03
HGCR11;101.98;0.93;2022-10-03
HGFF11;92.64;0.571;2022-10-03
HGLG11;147.51;1.1185;2022-10-03
HGPO11;268.05;1.2555;2022-10-03
HGRE11;161.86;0.727;2022-10-03
HGRU11;118.89;0.747;2022-10-03
HSML11;98.07;0.521;2022-10-03
HTMX11;125.31;0.88311032;2022-10-03
IBFF11;14.78;0.46580838;2022-10-03
IRDM11;95.01;1.23400297;2022-10-03
JSRE11;113.62;0.52;2022-10-03
KNCR11;101.17;0.641;2022-10-03
KNHY11;97.13;1.2155;2022-10-03
KNIP11;95.68;1.2025;2022-10-03
KNRI11;159.88;0.763;2022-10-03
LGCP11;102.14;0.569;2022-10-03
LUGG11;127.88;0.5215;2022-10-03
LVBI11;115.54;0.63834687;2022-10-03
MALL11;107.92;0.622;2022-10-03
MFII11;100.45;1.1045;2022-10-03
MGFF11;77.85;0.55541268;2022-10-03
MORE11;88.16;0.70132253;2022-10-03
MXRF11;10.14;0.086;2022-10-03
NSLU11;194.46;1.71261042;2022-10-03
OUFF11;81.04;0.66900016;2022-10-03
OUJP11;101.0;0.97352547;2022-10-03
OULG11;72.87;0.47014836;2022-10-03
OURE11;92.74;0.89499025;2022-10-03
QAGR11;55.87;0.39252381;2022-10-03
RBCO11;85.42;0.40175;2022-10-03
RBFF11;67.52;0.4895;2022-10-03
RBRF11;86.91;0.62080211;2022-10-03
RBRL11;107.15;0.6664;2022-10-03
RBRP11;84.11;0.465;2022-10-03
RBRR11;96.37;0.87870124;2022-10-03
RBVA11;103.07;0.9235;2022-10-03
RCRB11;197.09;0.769;2022-10-03
RECT11;95.4;0.57388;2022-10-03
RNGO11;87.68;0.382;2022-10-03
SDIL11;98.84;0.688;2022-10-03
SNFF11;94.24;0.63428571;2022-10-03
SPTW11;53.03;0.597;2022-10-03
TGAR11;121.8;1.2645;2022-10-03
TORD11;14.16;0.0976067;2022-10-03
TRXF11;103.73;0.7595;2022-10-03
UBSR11;-1.0;-1.0;2022-10-03
VIFI11;9.4;0.06185;2022-10-03
VILG11;113.89;0.643;2022-10-03
VINO11;54.11;0.4125;2022-10-03
VISC11;114.67;0.58625;2022-10-03
VRTA11;93.91;1.07012765;2022-10-03
WPLZ11;102.9;0.32666667;2022-10-03
XPCM11;52.47;0.279;2022-10-03
XPHT11;94.08;0.51428571;2022-10-03
XPHT12;94.08;-1.0;2022-10-03
XPLG11;113.9;0.6335;2022-10-03
XPML11;101.78;0.54091521;2022-10-03
XPPR11;75.93;0.485;2022-10-03
XPSF11;8.96;0.0717;2022-10-03
